Time [s], Analyzer Name, Decoded Protocol Result
2.070566166666667,Async Serial,' '
2.070826208333334,Async Serial,F
2.071086250000000,Async Serial,' '
2.071346291666667,Async Serial,' '
2.071606291666667,Async Serial,1
2.071866333333333,Async Serial,B
2.072126375000000,Async Serial,:
2.072386375000000,Async Serial,F
2.072646416666667,Async Serial,F
2.072906458333333,Async Serial,' '
2.073166500000000,Async Serial,F
2.073426500000000,Async Serial,\r
2.073686541666667,Async Serial,1
2.073946583333333,Async Serial,C
2.074206583333333,Async Serial,:
2.074466625000000,Async Serial,F
2.074726666666667,Async Serial,F
2.074986708333333,Async Serial,' '
2.075246708333333,Async Serial,F
2.075506750000000,Async Serial,' '
2.075766791666667,Async Serial,' '
2.076026791666667,Async Serial,1
2.076286833333334,Async Serial,D
2.076546875000000,Async Serial,:
2.076806916666667,Async Serial,F
2.077066916666667,Async Serial,F
2.077326958333333,Async Serial,' '
2.077587000000000,Async Serial,F
2.077847000000000,Async Serial,' '
2.078107041666667,Async Serial,' '
2.078367083333333,Async Serial,1
2.078627125000000,Async Serial,E
2.078887125000000,Async Serial,:
2.079147166666667,Async Serial,F
2.079407208333333,Async Serial,F
2.079667208333333,Async Serial,' '
2.079927250000000,Async Serial,F
2.080187291666667,Async Serial,' '
2.080447333333333,Async Serial,' '
2.080707333333333,Async Serial,1
2.080967375000000,Async Serial,F
2.081227416666667,Async Serial,:
2.081487416666667,Async Serial,F
2.081747458333334,Async Serial,F
2.082007500000000,Async Serial,' '
2.082267541666666,Async Serial,F
2.082527541666667,Async Serial,\r
2.082917583333333,Async Serial,2
2.083177625000000,Async Serial,0
2.083437666666667,Async Serial,:
2.083697666666667,Async Serial,F
2.083957708333333,Async Serial,F
2.084217750000000,Async Serial,' '
2.084477791666667,Async Serial,F
2.084737791666667,Async Serial,' '
2.084997833333333,Async Serial,' '
2.085257875000000,Async Serial,2
2.085517875000000,Async Serial,1
2.085777916666667,Async Serial,:
2.086037958333333,Async Serial,F
2.086298000000000,Async Serial,F
2.086558000000000,Async Serial,' '
2.086818041666667,Async Serial,F
2.087078083333333,Async Serial,' '
2.087338083333333,Async Serial,' '
2.087598125000000,Async Serial,2
2.087858166666666,Async Serial,2
2.088118208333333,Async Serial,:
2.088378208333333,Async Serial,F
2.088638250000000,Async Serial,F
2.088898291666667,Async Serial,' '
2.089158291666667,Async Serial,F
2.089418333333333,Async Serial,' '
2.089678375000000,Async Serial,' '
2.089938416666667,Async Serial,2
2.090198416666667,Async Serial,3
2.090458458333333,Async Serial,:
2.090718500000000,Async Serial,F
2.090978500000000,Async Serial,F
2.091238541666667,Async Serial,' '
2.091498583333333,Async Serial,F
2.091758625000000,Async Serial,\r
2.092018625000000,Async Serial,2
2.092278666666667,Async Serial,4
2.092538708333334,Async Serial,:
2.092798708333333,Async Serial,0
2.093058750000000,Async Serial,0
2.093318791666666,Async Serial,' '
2.093578833333333,Async Serial,F
2.093838833333333,Async Serial,' '
2.094098875000000,Async Serial,' '
2.094358916666667,Async Serial,2
2.094618916666667,Async Serial,5
2.094878958333333,Async Serial,:
2.095139000000000,Async Serial,0
2.095399000000000,Async Serial,0
2.095659041666666,Async Serial,' '
2.095919083333333,Async Serial,F
2.096179125000000,Async Serial,' '
2.096439125000000,Async Serial,' '
2.096699166666667,Async Serial,2
